{1: [14009, 18341]}
{2: [17220, 6578]}
{3: [8454, 2684]}
{4: [7210, 22934]}
{5: [11040, 13796]}
{6: [5748, 23722]}
{7: [16756, 11087]}
{8: [16046, 9762]}
{9: [2117, 6202]}
{10: [14212, 1442]}
{11: [5375, 5967]}
{12: [11818, 18718]}
{13: [15687, 10471]}
{14: [22729, 12124]}
{15: [10172, 23830]}
{16: [3871, 4362]}
{17: [7724, 15690]}
{18: [19828, 2266]}
{19: [18826, 3913]}
{20: [12654, 22212]}
{21: [23389, 18367]}
{22: [9383, 16861]}
{23: [20883, 11196]}
{24: [16904, 11918]}
{25: [23837, 7614]}
{26: [21017, 22981]}
{27: [15892, 15672]}
{28: [19356, 21306]}
{29: [19157, 655]}
{30: [7487, 9786]}
{31: [2539, 8625]}
{32: [10446, 3080]}
{33: [6733, 14634]}
{34: [21934, 13227]}
{35: [17699, 6024]}
{36: [11009, 8689]}
{37: [16131, 14992]}
{38: [10007, 21994]}
{39: [15124, 17306]}
{40: [9896, 9995]}
{41: [21935, 22406]}
{42: [7904, 7582]}
{43: [8602, 15491]}
{44: [12112, 1912]}
{45: [3058, 21990]}
{46: [6630, 3490]}
{47: [23481, 6440]}
{48: [17438, 4305]}
{49: [9479, 14624]}
{50: [468, 22484]}
{51: [16564, 12034]}
{52: [2361, 20447]}
{53: [18798, 20584]}
{54: [6418, 2295]}
{55: [7293, 23084]}
{56: [15424, 23461]}
{57: [3373, 18534]}
{58: [4187, 7730]}
{59: [3466, 879]}
{60: [9445, 13297]}
{61: [16152, 9724]}
{62: [18435, 9863]}
{63: [13910, 18790]}
{64: [19354, 5416]}
{65: [22730, 19909]}
{66: [15326, 21968]}
{67: [21043, 11779]}
{68: [20378, 1306]}
{69: [474, 9994]}
{70: [6237, 16822]}
{71: [2464, 3518]}
{72: [22092, 23873]}
{73: [3553, 4213]}
{74: [14807, 9002]}
{75: [12881, 14076]}
{76: [9444, 13865]}
{77: [9663, 17592]}
{78: [3661, 2689]}
{79: [8741, 10716]}
{80: [2480, 545]}
{81: [3906, 22408]}
{82: [10853, 7301]}
{83: [8306, 22763]}
{84: [16864, 12824]}
{85: [14417, 6882]}
{86: [537, 1560]}
{87: [20469, 9833]}
{88: [23542, 6227]}
{89: [10008, 9881]}
{90: [13104, 20596]}
{91: [13768, 12989]}
{92: [14285, 3690]}
{93: [1669, 14066]}
{94: [15420, 8348]}
{95: [5971, 1417]}
{96: [18647, 21604]}
{97: [4827, 20714]}
{98: [303, 22694]}
{99: [18284, 12231]}
{100: [21322, 5546]}
{101: [16186, 313]}
{102: [5905, 10616]}
{103: [21466, 8004]}
{104: [9911, 22789]}
{105: [6817, 12007]}
{106: [12868, 20576]}
{107: [17187, 17750]}
{108: [3376, 22203]}
{109: [20749, 15260]}
{110: [3331, 7085]}
{111: [11566, 2147]}
{112: [12544, 14929]}
{113: [5972, 21510]}
{114: [23355, 681]}
{115: [3913, 6074]}
{116: [12705, 3975]}
{117: [1290, 21261]}
{118: [9640, 1032]}
{119: [10485, 14063]}
{120: [14141, 11196]}
{121: [4964, 16921]}
{122: [16283, 17532]}
{123: [17381, 17533]}
{124: [15180, 8936]}
{125: [11871, 14354]}
{126: [18835, 1284]}
{127: [12977, 6097]}
{128: [11820, 5864]}
{129: [981, 18187]}
{130: [14606, 10128]}
{131: [19218, 18694]}
{132: [20867, 15879]}
{133: [566, 8451]}
{134: [2549, 7146]}
{135: [10251, 14982]}
{136: [15963, 19834]}
{137: [22490, 3934]}
{138: [5927, 15544]}
{139: [7967, 9903]}
{140: [11390, 12322]}
{141: [23962, 5053]}
{142: [5888, 101]}
{143: [12938, 12785]}
{144: [22258, 10473]}
{145: [9772, 13204]}
{146: [821, 17158]}
{147: [19190, 23161]}
{148: [23608, 9147]}
{149: [17358, 14951]}
{150: [16102, 16824]}
{151: [16374, 6174]}
{152: [18903, 5843]}
{153: [23325, 15338]}
{154: [4450, 16400]}
{155: [20216, 4914]}
{156: [699, 4418]}
{157: [3938, 20944]}
{158: [9296, 7265]}
{159: [22520, 2567]}
{160: [10169, 9943]}
{161: [23237, 5093]}
{162: [9239, 14322]}
{163: [13906, 4485]}
{164: [18487, 16502]}
{165: [2158, 4570]}
{166: [17978, 12204]}
{167: [161, 15423]}
{168: [11201, 3738]}
{169: [5210, 17298]}
{170: [11387, 19458]}
{171: [11472, 10056]}
{172: [15780, 18166]}
{173: [20461, 8742]}
{174: [1632, 14266]}
{175: [16248, 4060]}
{176: [19100, 14238]}
{177: [19052, 18381]}
{178: [21828, 9853]}
{179: [21570, 9824]}
{180: [5951, 21816]}
{181: [8422, 10638]}
{182: [1734, 11374]}
{183: [12017, 13034]}
{184: [3971, 20609]}
{185: [13110, 1624]}
{186: [4592, 11496]}
{187: [16355, 6601]}
{188: [13481, 8947]}
{189: [23578, 10253]}
{190: [6406, 23924]}
{191: [15069, 23312]}
{192: [21500, 13065]}
{193: [3009, 22437]}
{194: [10659, 14421]}
{195: [19477, 14704]}
{196: [11491, 19780]}
{197: [23246, 10795]}
{198: [10745, 8924]}
{199: [21397, 6278]}
{200: [7070, 6596]}
{201: [10100, 23827]}
{202: [8203, 7289]}
{203: [9106, 19120]}
{204: [6773, 6481]}
{205: [18005, 1238]}
{206: [4003, 1090]}
{207: [4967, 18214]}
{208: [20552, 22408]}
{209: [18962, 22496]}
{210: [17233, 15398]}
{211: [11891, 8720]}
{212: [8389, 734]}
{213: [2597, 22942]}
{214: [22775, 361]}
{215: [8038, 9796]}
{216: [23485, 12586]}
{217: [23881, 14561]}
{218: [16109, 16122]}
{219: [12018, 2497]}
{220: [3444, 7461]}
{221: [3443, 13888]}
{222: [624, 902]}
{223: [7451, 8331]}
{224: [12281, 22144]}
{225: [4559, 15568]}
{226: [20343, 2949]}
{227: [21559, 4996]}
{228: [23548, 20579]}
{229: [9031, 17960]}
{230: [19142, 23375]}
{231: [19876, 13958]}
{232: [10558, 2833]}
{233: [12047, 392]}
{234: [4497, 17489]}
{235: [15887, 7287]}
{236: [19043, 16959]}
{237: [16213, 23128]}
{238: [10736, 14283]}
{239: [19235, 15822]}
{240: [14363, 13272]}
{241: [22947, 9791]}
{242: [14507, 8075]}
{243: [7367, 7693]}
{244: [1611, 4618]}
{245: [13504, 17350]}
{246: [7958, 22453]}
{247: [15196, 5547]}
{248: [3826, 5020]}
{249: [22793, 16922]}
{250: [13375, 2671]}
{251: [15140, 3634]}
{252: [13054, 1915]}
{253: [5847, 16529]}
{254: [16807, 21014]}
{255: [10829, 450]}
{256: [7972, 23263]}
{257: [13558, 1725]}
{258: [18371, 8280]}
{259: [20354, 13826]}
{260: [20759, 16566]}
{261: [6233, 22780]}
{262: [22735, 19497]}
{263: [5695, 7390]}
{264: [12424, 11988]}
{265: [20724, 14356]}
{266: [12546, 21271]}
{267: [15384, 11459]}
{268: [22339, 23177]}
{269: [2735, 6128]}
{270: [8144, 19198]}
{271: [2850, 14530]}
{272: [14039, 9397]}
{273: [19375, 19480]}
{274: [8643, 6779]}
{275: [19915, 4829]}
